Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,210,Winter wheat,Sweden,1.31,1.31,0.0,1.88,1.05,4.75,2.96,2.19,8.84,C,0.009231892768425483
1,Wheat & Rye (Bread),starch_rich,211,Winter wheat,Sweden,2.81,2.81,0.0,1.77,1.41,5.17,4.05,2.19,8.84,C,0.005539135661055291
1,Wheat & Rye (Bread),starch_rich,212,Winter wheat,Sweden,1.69,1.69,0.0,1.06,1.16,5.07,1.65,2.19,8.84,C,0.005539135661055291
1,Wheat & Rye (Bread),starch_rich,213,Winter wheat,Sweden,1.75,1.75,0.0,1.1,1.38,5.46,1.71,2.19,8.84,C,0.005539135661055291
1,Wheat & Rye (Bread),starch_rich,214,Winter bread wheat,Switzerland,1.77,1.77,0.0,2.63,1.27,6.88,0.95,2.19,1.8,C,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,215,Winter rye,Switzerland,1.34,1.34,0.0,11.42,0.92,7.07,15.11,2.19,1.8,C,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,216,Winter rye,Switzerland,1.53,1.53,0.0,12.99,1.02,9.04,19.75,2.19,1.8,C,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,217,Winter rye,Switzerland,1.7,1.7,0.0,14.41,1.02,7.57,19.25,2.19,1.8,C,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,218,Winter rye,Switzerland,1.72,1.72,0.0,14.64,1.07,10.77,23.09,2.19,1.8,C,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,219,Winter rye,Switzerland,2.5,2.5,0.0,21.26,1.18,17.82,34.09,2.19,1.8,O,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,220,Winter rye,Switzerland,2.36,2.36,0.0,20.07,1.15,17.74,33.07,2.19,1.8,O,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,221,Winter wheat,Switzerland,1.58,1.58,0.0,13.79,1.12,7.94,22.67,2.19,1.8,C,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,222,Winter wheat,Switzerland,1.93,1.93,0.0,16.88,1.17,8.07,27.17,2.19,1.8,C,0.019005195184038173
1,Wheat & Rye (Bread),starch_rich,223,Winter wheat,Switzerland,1.68,1.68,0.0,14.71,1.13,8.17,19.07,2.19,1.8,C,0.019005195184038173
